Seq_ID	True_Cluster
CH_OB1_01	Cluster_1
CH_OB1_02	Cluster_1
CH_OB1_03	Cluster_1
CH_OB1_04	Cluster_1
CH_OB1_05	Cluster_1
CH_OB1_06	Cluster_1
CH_OB2_01	Cluster_2
CH_OB2_02	Cluster_2
CH_OB2_03	Cluster_2
CH_OB2_04	Cluster_2
CH_OB2_05	Cluster_2
CH_OB2_06	Cluster_2
CH_OB3_01	Cluster_3
CH_OB3_02	Cluster_3
CH_OB3_03	Cluster_3
CH_OB3_04	Cluster_3
CH_OB3_05	Cluster_3
CH_OB3_06	Cluster_3
CP_OB4_01	Cluster_4
CP_OB4_02	Cluster_4
CP_OB4_03	Cluster_4
CP_OB4_04	Cluster_4
CP_OB4_05	Cluster_4
CP_OB4_06	Cluster_4
