Seq_ID	True_Cluster
G_AI_01	Assemblage_AI
G_AI_02	Assemblage_AI
G_AI_03	Assemblage_AI
G_AI_04	Assemblage_AI
G_AI_05	Assemblage_AI
G_AII_01	Assemblage_AII
G_AII_02	Assemblage_AII
G_AII_03	Assemblage_AII
G_AII_04	Assemblage_AII
G_AII_05	Assemblage_AII
G_BIII_01	Assemblage_BIII
G_BIII_02	Assemblage_BIII
G_BIII_03	Assemblage_BIII
G_BIII_04	Assemblage_BIII
G_BIII_05	Assemblage_BIII
G_BIV_01	Assemblage_BIV
G_BIV_02	Assemblage_BIV
G_BIV_03	Assemblage_BIV
G_BIV_04	Assemblage_BIV
G_BIV_05	Assemblage_BIV
