,ONT_Guat_Endemic_Patzun01,ONT_Guat_Endemic_Patzun02,ONT_Guat_Endemic_Solola01,ONT_Guat_Endemic_Solola02,ONT_Nepal_Endemic_KTM01,ONT_Nepal_Endemic_KTM02,ONT_Nepal_Endemic_Pokhara,ONT_Nepal_Endemic_Pokhara1,ONT_Nepal_Endemic_Pokhara2,ONT_Peru_Endemic_Cusco01,ONT_Peru_Endemic_Cusco02,ONT_Peru_Endemic_Lima01,ONT_Peru_Endemic_Lima02,ONT_Travel_Return_EU_Guat,ONT_Travel_Return_UK_Peru,ONT_Travel_Return_US_Nepal,ONT_US_2025_Clinical_A1,ONT_US_2025_Clinical_A2,ONT_US_2025_Clinical_A3,ONT_US_2025_Clinical_A4,ONT_US_2025_Clinical_A5,ONT_US_2025_Clinical_B1,ONT_US_2025_Clinical_B2,ONT_US_2025_Clinical_B3,ONT_US_2025_Clinical_B4,ONT_US_2025_Clinical_B5
ONT_Guat_Endemic_Patzun01,0.0,3.725290298461914e-09,0.1368204703018514,0.25451813586637984,0.1699559363397131,0.22382759396227497,0.15897406528691949,0.15897406528691946,0.15897406528691949,0.22643376017112904,0.2264337601711291,0.23126801143589687,0.2734475872845068,0.13682047030185152,0.22855023252349016,0.169955936339713,0.3110209188251345,0.3110209188251345,0.3110209188251345,0.3110209188251345,0.3110209188251345,0.31094879054394686,0.31094879054394686,0.31094879054394686,0.31094879054394686,0.31094879054394686
ONT_Guat_Endemic_Patzun02,3.725290298461914e-09,0.0,0.13682047030185118,0.2545181358663797,0.16995593633971287,0.22382759396227478,0.1589740652869193,0.15897406528691926,0.1589740652869193,0.2264337601711289,0.22643376017112893,0.2312680114358967,0.2734475872845067,0.13682047030185132,0.22855023252349005,0.1699559363397128,0.3110209188251345,0.31102091882513444,0.3110209188251344,0.31102091882513444,0.3110209188251344,0.31094879054394675,0.31094879054394675,0.3109487905439467,0.3109487905439467,0.3109487905439467
ONT_Guat_Endemic_Solola01,0.1368204703018514,0.13682047030185118,0.0,0.25451813586637967,0.16995593633971295,0.22382759396227478,0.15897406528691932,0.15897406528691932,0.15897406528691932,0.2264337601711289,0.22643376017112893,0.23126801143589665,0.27344758728450663,2.634178031930877e-09,0.22855023252348994,0.16995593633971282,0.3110209188251345,0.3110209188251345,0.31102091882513444,0.3110209188251345,0.3110209188251345,0.31094879054394686,0.310948790543947,0.3109487905439469,0.3109487905439469,0.3109487905439469
ONT_Guat_Endemic_Solola02,0.25451813586637984,0.2545181358663797,0.25451813586637967,0.0,0.20506760385471756,0.2591595943711663,0.194930728329683,0.19493072832968297,0.194930728329683,0.2564187481338998,0.2564187481338998,0.25934663208148995,0.30198291847124725,0.2545181358663798,0.2554754440971909,0.20506760385471762,0.34035558042372144,0.3403555804237214,0.3403555804237214,0.3403555804237214,0.34035558042372144,0.3400197318819507,0.3400197318819507,0.3400197318819507,0.3400197318819507,0.3400197318819507
ONT_Nepal_Endemic_KTM01,0.1699559363397131,0.16995593633971287,0.16995593633971295,0.20506760385471756,0.0,0.11609758047435068,0.09026544815528635,0.09026544815528637,0.09026544815528635,0.14454481738925448,0.14454481738925454,0.16339984784093467,0.20827168915658004,0.169955936339713,0.1653175070303024,6.177695077574625e-09,0.31449946862846045,0.31449946862846045,0.31449946862846045,0.31449946862846045,0.31449946862846045,0.22819264249973617,0.22819264249973611,0.22819264249973614,0.22819264249973611,0.22819264249973611
ONT_Nepal_Endemic_KTM02,0.22382759396227497,0.22382759396227478,0.22382759396227478,0.2591595943711663,0.11609758047435068,0.0,0.19152986720677878,0.19152986720677875,0.19152986720677875,0.20204076637825424,0.20204076637825427,0.21077368100168906,0.2593418577761459,0.22382759396227483,0.2073856624733995,0.11609758047435068,0.36998675165248945,0.36998675165248945,0.3699867516524894,0.36998675165248945,0.3699867516524894,0.27827014389577664,0.27827014389577664,0.27827014389577664,0.27827014389577664,0.27827014389577664
ONT_Nepal_Endemic_Pokhara,0.15897406528691949,0.1589740652869193,0.15897406528691932,0.194930728329683,0.09026544815528635,0.19152986720677878,0.0,1.862645149230957e-09,4.656612873077393e-10,0.13531766381849794,0.13531766381849797,0.14958278050836574,0.19649949031643196,0.15897406528691935,0.15120340984190866,0.09026544815528623,0.24069672338346973,0.24069672338346973,0.24069672338346973,0.24069672338346973,0.24069672338346973,0.2407761247555407,0.24077612475554075,0.24077612475554072,0.24077612475554072,0.24077612475554072
ONT_Nepal_Endemic_Pokhara1,0.15897406528691946,0.15897406528691926,0.15897406528691932,0.19493072832968297,0.09026544815528637,0.19152986720677875,1.862645149230957e-09,0.0,1.3170890159654386e-09,0.13531766381849794,0.13531766381849797,0.14958278050836574,0.19649949031643194,0.15897406528691937,0.15120340984190866,0.09026544815528623,0.24069672338346973,0.24069672338346973,0.2406967233834697,0.2406967233834697,0.24069672338346973,0.2407761247555407,0.24077612475554075,0.24077612475554075,0.24077612475554072,0.24077612475554072
ONT_Nepal_Endemic_Pokhara2,0.15897406528691949,0.1589740652869193,0.15897406528691932,0.194930728329683,0.09026544815528635,0.19152986720677875,4.656612873077393e-10,1.3170890159654386e-09,0.0,0.13531766381849794,0.13531766381849797,0.14958278050836574,0.19649949031643194,0.15897406528691937,0.15120340984190866,0.09026544815528623,0.2406967233834697,0.2406967233834697,0.2406967233834697,0.2406967233834697,0.2406967233834697,0.2407761247555407,0.24077612475554072,0.24077612475554072,0.24077612475554072,0.24077612475554072
ONT_Peru_Endemic_Cusco01,0.22643376017112904,0.2264337601711289,0.2264337601711289,0.2564187481338998,0.14454481738925448,0.20204076637825424,0.13531766381849794,0.13531766381849794,0.13531766381849794,0.0,2.634178031930877e-09,0.08660888157495142,0.16684477859701258,0.226433760171129,0.08184530023726948,0.1445448173892544,0.2927996774475627,0.2927996774475627,0.2927996774475627,0.29279967744756275,0.29279967744756275,0.29395015780993666,0.2939501578099367,0.2939501578099367,0.2939501578099367,0.2939501578099367
