Seq_ID	Assigned_cluster
Crypto_Hominis_DaycareOutbreak_01	1
Crypto_Hominis_DaycareOutbreak_02	1
Crypto_Hominis_DaycareOutbreak_03	1
Crypto_Hominis_DaycareOutbreak_04	1
Crypto_Hominis_DaycareOutbreak_05	1
Crypto_Hominis_WaterOutbreak_01	1
Crypto_Hominis_WaterOutbreak_02	1
Crypto_Hominis_WaterOutbreak_03	1
Crypto_Hominis_WaterOutbreak_04	1
Crypto_Hominis_WaterOutbreak_05	1
Crypto_Parvum_FarmOutbreak_01	2
Crypto_Parvum_FarmOutbreak_02	2
Crypto_Parvum_FarmOutbreak_03	2
Crypto_Parvum_FarmOutbreak_04	2
Crypto_Parvum_FarmOutbreak_05	2
Crypto_Parvum_Farm_CoInfected	2
Crypto_Parvum_GoatOutbreak_01	2
Crypto_Parvum_GoatOutbreak_02	2
Crypto_Parvum_GoatOutbreak_03	2
Crypto_Parvum_GoatOutbreak_04	2
Crypto_Parvum_GoatOutbreak_05	2
