,Crypto_Hominis_DaycareOutbreak_01,Crypto_Hominis_DaycareOutbreak_02,Crypto_Hominis_DaycareOutbreak_03,Crypto_Hominis_DaycareOutbreak_04,Crypto_Hominis_DaycareOutbreak_05,Crypto_Hominis_WaterOutbreak_01,Crypto_Hominis_WaterOutbreak_02,Crypto_Hominis_WaterOutbreak_03,Crypto_Hominis_WaterOutbreak_04,Crypto_Hominis_WaterOutbreak_05,Crypto_Parvum_FarmOutbreak_01,Crypto_Parvum_FarmOutbreak_02,Crypto_Parvum_FarmOutbreak_03,Crypto_Parvum_FarmOutbreak_04,Crypto_Parvum_FarmOutbreak_05,Crypto_Parvum_Farm_CoInfected,Crypto_Parvum_GoatOutbreak_01,Crypto_Parvum_GoatOutbreak_02,Crypto_Parvum_GoatOutbreak_03,Crypto_Parvum_GoatOutbreak_04,Crypto_Parvum_GoatOutbreak_05
Crypto_Hominis_DaycareOutbreak_01,0.0,5.268356063861754e-09,9.125060374972142e-09,5.268356063861754e-09,5.268356063861754e-09,0.30261099540899905,0.3026109954089991,0.3026109954089991,0.30261099540899905,0.3026109954089992,0.5273284122555807,0.5273284122555807,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.6633305538750354,0.5321615202492465,0.5321615202492465,0.5321615202492465,0.5321615202492465,0.5321615202492465
Crypto_Hominis_DaycareOutbreak_02,5.268356063861754e-09,0.0,9.125060374972142e-09,0.0,0.0,0.30261099540899894,0.30261099540899894,0.30261099540899894,0.30261099540899894,0.3026109954089991,0.5273284122555809,0.5273284122555809,0.5273284122555809,0.5273284122555809,0.5273284122555809,0.6633305538750355,0.5321615202492466,0.5321615202492466,0.5321615202492466,0.5321615202492466,0.5321615202492466
Crypto_Hominis_DaycareOutbreak_03,9.125060374972142e-09,9.125060374972142e-09,0.0,9.125060374972142e-09,9.125060374972142e-09,0.30261099540899883,0.3026109954089989,0.30261099540899883,0.30261099540899883,0.3026109954089992,0.5273284122555809,0.5273284122555809,0.5273284122555809,0.5273284122555809,0.5273284122555809,0.6633305538750355,0.5321615202492466,0.5321615202492466,0.5321615202492466,0.5321615202492466,0.5321615202492466
Crypto_Hominis_DaycareOutbreak_04,5.268356063861754e-09,0.0,9.125060374972142e-09,0.0,0.0,0.302610995408999,0.30261099540899905,0.302610995408999,0.302610995408999,0.3026109954089992,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.6633305538750354,0.5321615202492465,0.5321615202492465,0.5321615202492466,0.5321615202492466,0.5321615202492465
Crypto_Hominis_DaycareOutbreak_05,5.268356063861754e-09,0.0,9.125060374972142e-09,0.0,0.0,0.30261099540899905,0.302610995408999,0.302610995408999,0.302610995408999,0.3026109954089992,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.5273284122555808,0.6633305538750354,0.5321615202492465,0.5321615202492465,0.5321615202492466,0.5321615202492466,0.5321615202492465
Crypto_Hominis_WaterOutbreak_01,0.30261099540899905,0.30261099540899894,0.30261099540899883,0.302610995408999,0.30261099540899905,0.0,0.0,0.0,5.268356063861754e-09,9.125060374972142e-09,0.5544114266165382,0.5544114266165382,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.6661452778608382,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.496935411939354,0.4969354119393539
Crypto_Hominis_WaterOutbreak_02,0.3026109954089991,0.30261099540899894,0.3026109954089989,0.30261099540899905,0.302610995408999,0.0,0.0,0.0,5.268356063861754e-09,7.450580596923828e-09,0.5544114266165382,0.5544114266165382,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.6661452778608382,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.496935411939354,0.4969354119393539
Crypto_Hominis_WaterOutbreak_03,0.3026109954089991,0.30261099540899894,0.30261099540899883,0.302610995408999,0.302610995408999,0.0,0.0,0.0,5.268356063861754e-09,9.125060374972142e-09,0.5544114266165382,0.5544114266165382,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.6661452778608382,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.496935411939354,0.4969354119393539
Crypto_Hominis_WaterOutbreak_04,0.30261099540899905,0.30261099540899894,0.30261099540899883,0.302610995408999,0.302610995408999,5.268356063861754e-09,5.268356063861754e-09,5.268356063861754e-09,0.0,8.287820485947985e-09,0.5544114266165382,0.5544114266165382,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.6661452778608382,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.496935411939354,0.4969354119393539
Crypto_Hominis_WaterOutbreak_05,0.3026109954089992,0.3026109954089991,0.3026109954089992,0.3026109954089992,0.3026109954089992,9.125060374972142e-09,7.450580596923828e-09,9.125060374972142e-09,8.287820485947985e-09,0.0,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.6661452778608383,0.49693541193935403,0.49693541193935403,0.49693541193935403,0.4969354119393541,0.49693541193935403
Crypto_Parvum_FarmOutbreak_01,0.5273284122555807,0.5273284122555809,0.5273284122555809,0.5273284122555808,0.5273284122555808,0.5544114266165382,0.5544114266165382,0.5544114266165382,0.5544114266165382,0.5544114266165383,0.0,0.0,0.0,0.0,0.0,0.13675130330932164,0.11205108577879369,0.11205108577879364,0.11205108577879369,0.11205108577879373,0.11205108577879369
Crypto_Parvum_FarmOutbreak_02,0.5273284122555807,0.5273284122555809,0.5273284122555809,0.5273284122555808,0.5273284122555808,0.5544114266165382,0.5544114266165382,0.5544114266165382,0.5544114266165382,0.5544114266165383,0.0,0.0,0.0,0.0,0.0,0.13675130330932164,0.11205108577879369,0.11205108577879364,0.11205108577879369,0.11205108577879373,0.11205108577879369
Crypto_Parvum_FarmOutbreak_03,0.5273284122555808,0.5273284122555809,0.5273284122555809,0.5273284122555808,0.5273284122555808,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.0,0.0,0.0,0.0,0.0,0.13675130330932148,0.11205108577879361,0.11205108577879361,0.11205108577879369,0.11205108577879366,0.11205108577879361
Crypto_Parvum_FarmOutbreak_04,0.5273284122555808,0.5273284122555809,0.5273284122555809,0.5273284122555808,0.5273284122555808,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.0,0.0,0.0,0.0,0.0,0.13675130330932148,0.11205108577879361,0.11205108577879361,0.11205108577879369,0.11205108577879366,0.11205108577879361
Crypto_Parvum_FarmOutbreak_05,0.5273284122555808,0.5273284122555809,0.5273284122555809,0.5273284122555808,0.5273284122555808,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.5544114266165383,0.0,0.0,0.0,0.0,0.0,0.13675130330932148,0.11205108577879361,0.11205108577879361,0.11205108577879369,0.11205108577879366,0.11205108577879361
Crypto_Parvum_Farm_CoInfected,0.6633305538750354,0.6633305538750355,0.6633305538750355,0.6633305538750354,0.6633305538750354,0.6661452778608382,0.6661452778608382,0.6661452778608382,0.6661452778608382,0.6661452778608383,0.13675130330932164,0.13675130330932164,0.13675130330932148,0.13675130330932148,0.13675130330932148,0.0,0.17200472259549013,0.17200472259549007,0.17200472259549013,0.1720047225954901,0.17200472259549013
Crypto_Parvum_GoatOutbreak_01,0.5321615202492465,0.5321615202492466,0.5321615202492466,0.5321615202492465,0.5321615202492465,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.49693541193935403,0.11205108577879369,0.11205108577879369,0.11205108577879361,0.11205108577879361,0.11205108577879361,0.17200472259549013,0.0,0.0,1.862645149230957e-09,4.496823181161834e-09,3.725290298461914e-09
Crypto_Parvum_GoatOutbreak_02,0.5321615202492465,0.5321615202492466,0.5321615202492466,0.5321615202492465,0.5321615202492465,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.49693541193935403,0.11205108577879364,0.11205108577879364,0.11205108577879361,0.11205108577879361,0.11205108577879361,0.17200472259549007,0.0,0.0,1.862645149230957e-09,1.862645149230957e-09,0.0
Crypto_Parvum_GoatOutbreak_03,0.5321615202492465,0.5321615202492466,0.5321615202492466,0.5321615202492466,0.5321615202492466,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.4969354119393539,0.49693541193935403,0.11205108577879369,0.11205108577879369,0.11205108577879369,0.11205108577879369,0.11205108577879369,0.17200472259549013,1.862645149230957e-09,1.862645149230957e-09,0.0,1.862645149230957e-09,1.862645149230957e-09
