Seq_ID	Assigned_cluster
CAN_SRR17681259_SaladClusterA	1
CAN_SRR17681260_SaladClusterA	1
CAN_SRR17681261_BerryClusterB	2
CAN_SRR17681262_BerryClusterB	2
CAN_SRR17681263_TravelCasePeru	2
CAN_SRR17681264_TravelCaseGuat	2
CAN_SRR17681265_DomesticSporadic	2
FDA_SRR15301086_AgWater1	1
FDA_SRR15301087_AgWater2	1
FDA_SRR15301088_Irrigation	2
FDA_SRR15301089_SoilSwab	2
FDA_SRR15301090_ProduceImport1	1
FDA_SRR15301091_ProduceImport2	1
FDA_SRR15301092_ProduceImport3	1
FDA_SRR15598756_Cilantro	1
FDA_SRR15598757_Basil	1
FDA_SRR15598758_BerryWash	1
